date,BTC,ETH,XRP
2020-03-02,528906629.6,182948651.7,32516162.67
2020-03-03,484181096.3,168090325.5,30665218.41
2020-03-04,338849892.0,99650220.54,21670173.52
2020-03-05,524102029.2,138081898.3,31325344.33
2020-03-06,397598476.4,148563741.8,28216830.67
2020-03-07,409983263.8,154037325.6,23018458.8
2020-03-08,656931544.8,277970187.9,58950052.64
2020-03-09,918787729.1,332570408.5,59338524.53
2020-03-10,689700153.4,205536190.2,38376165.66
2020-03-11,624465167.4,208232375.2,36943051.52
2020-03-12,1628590104.0,548668262.2,126862479.0
2020-03-13,2063819541.0,560710331.8,176952697.6
2020-03-14,736651880.9,159192895.6,48507307.94
2020-03-15,753755706.4,163436235.3,44671418.3
2020-03-16,1113690309.0,270353891.8,74672811.71
2020-03-17,793147908.3,150800664.1,46647608.11
2020-03-18,719748122.5,137550912.1,33736394.87
2020-03-19,1164739708.0,231626928.2,56107159.31
2020-03-20,1401734013.0,345856006.7,83327848.65
2020-03-21,794962136.6,162468451.8,42248980.41
2020-03-22,722895653.5,135927941.1,34064640.07
2020-03-23,1015525672.0,184851609.1,43440715.28
2020-03-24,1001890515.0,171156363.7,40232050.46
2020-03-25,880250736.9,141795323.0,32280625.73
2020-03-26,552537189.5,101918769.7,34206852.5
2020-03-27,551326113.9,96581886.88,55791468.34
2020-03-28,577986706.1,115166652.0,52931319.27
2020-03-29,383707122.5,69434202.21,31770063.66
2020-03-30,747569726.5,100271145.9,31139110.22
2020-03-31,465780496.6,72618183.48,27630973.27
2020-04-01,618527468.8,90063924.23,31705061.13
2020-04-02,1014494762.0,159989506.6,39831050.61
2020-04-03,710254017.1,113731706.7,30611897.82
2020-04-04,495076283.5,81640622.83,21073737.2
2020-04-05,337062083.0,59383946.13,15006077.31
2020-04-06,837357664.7,257097597.8,42647674.03
2020-04-07,757201786.7,292710722.6,53940498.2
2020-04-08,555122600.3,173916484.8,30755096.87
2020-04-09,444741085.9,122531132.0,20760538.16
2020-04-10,727281590.8,209535613.3,30441890.61
2020-04-11,311699573.5,98275533.06,18977182.63
2020-04-12,516235035.2,129919934.4,24900274.48
2020-04-13,649390681.2,160423270.3,29319579.41
2020-04-14,474794776.2,110710086.1,17488252.49
2020-04-15,416947490.6,114640840.1,22474988.5
2020-04-16,865277543.4,273639160.1,41065594.1
2020-04-17,382334236.2,123553456.3,17382005.14
2020-04-18,354845083.8,203132212.0,21916048.62
2020-04-19,326485586.9,181415813.5,17264504.17
2020-04-20,629612368.7,273854539.8,32618188.19
2020-04-21,411800606.1,155292048.4,20526910.21
2020-04-22,431271646.2,176079076.9,17524430.81
2020-04-23,756320213.6,270862911.4,34473402.31
2020-04-24,452118137.8,146419748.1,22146163.86
2020-04-25,331292050.8,167703202.4,15346321.2
2020-04-26,384202783.3,148433709.8,18195800.86
2020-04-27,504025811.7,174775637.9,20557795.8
2020-04-28,357391780.9,124476041.9,50693359.88
2020-04-29,1536390177.0,338324593.6,64552311.12
2020-04-30,1839283907.0,374893029.8,69473163.65
2020-05-01,805640126.6,168339123.4,34920373.57
2020-05-02,523838859.5,94389501.52,26515783.35
2020-05-03,808427095.9,158874887.1,24624153.91
2020-05-04,738343818.7,225451167.7,35767192.5
2020-05-05,683083018.9,131906204.9,23263009.85
2020-05-06,972793508.5,178157452.6,28673363.83
2020-05-07,1409783462.0,271197927.7,38007015.38
2020-05-08,997005843.7,194579529.4,29250576.99
2020-05-09,795001351.7,124626471.4,35087403.06
2020-05-10,1594996477.0,278394290.8,60926889.83
2020-05-11,1468392821.0,203391530.2,36506741.96
2020-05-12,760195457.1,126810812.2,23710733.44
2020-05-13,839725720.0,156637596.4,19051354.37
2020-05-14,1247456798.0,224233786.1,25092468.53
2020-05-15,1099721376.0,179634085.6,28517135.98
2020-05-16,560547005.0,134060788.5,18846378.0
2020-05-17,663088800.8,145341278.7,17382542.87
2020-05-18,797622297.3,226789027.2,26571284.08
2020-05-19,760713946.0,136846948.6,20308677.74
2020-05-20,721190802.8,143704806.2,21674783.13
2020-05-21,1002046266.0,203445711.0,23543670.92
2020-05-22,537847834.5,159972608.5,26830045.19
2020-05-23,400407195.6,99461068.1,17664632.02
2020-05-24,636787240.4,138917619.2,17579270.34
2020-05-25,553545285.9,95411610.8,18809282.04
2020-05-26,516455128.9,96116808.86,17758963.94
2020-05-27,624660855.8,101445351.0,19606099.88
2020-05-28,693930106.2,136361627.3,21835213.64
2020-05-29,542758086.6,133220045.5,19620435.16
2020-05-30,530598690.1,238678839.8,31456500.11
2020-05-31,461272298.9,194867426.3,37293044.95
2020-06-01,749707596.7,198791911.8,32564541.55
2020-06-02,1070060237.0,230680327.3,42200256.17
2020-06-03,441928818.0,120179301.2,20811724.76
2020-06-04,557234945.6,162460397.6,25824214.13
2020-06-05,465200788.2,122084004.5,20105805.91
2020-06-06,315604867.2,93979350.81,16114585.19
2020-06-07,556919603.8,137165732.6,18875028.46
2020-06-08,395459395.8,93355224.97,12767362.01
2020-06-09,447208895.8,102374504.6,16520867.17
2020-06-10,462384305.4,105797248.2,15280061.41
2020-06-11,902075648.5,195063781.3,25844804.82
2020-06-12,472007894.4,105069425.1,14533799.77
2020-06-13,261673162.3,60087772.65,12170228.26
2020-06-14,282131272.4,71575514.08,11158945.79
2020-06-15,793518842.6,197907504.8,24415172.12
2020-06-16,494458269.1,116456364.2,14666578.93
2020-06-17,453209812.2,111415059.1,27856615.18
2020-06-18,351649555.1,77542070.33,15843553.69
2020-06-19,423086965.2,91117706.16,19119359.6
2020-06-20,282120360.6,69343699.91,12232229.51
2020-06-21,227467940.6,58868166.51,12484413.49
2020-06-22,550995799.1,178707156.2,22925902.51
2020-06-23,395487616.5,107457002.5,15203951.75
2020-06-24,579426702.8,220763040.4,18502915.66
2020-06-25,514396747.4,142697463.4,15201347.42
2020-06-26,461347064.8,144805505.2,24516731.37
2020-06-27,419606802.2,145264632.3,17772779.35
2020-06-28,278721674.9,99423540.14,14183202.99
2020-06-29,384206326.5,134510531.2,19131133.78
2020-06-30,287781334.5,93802207.27,11241515.75
2020-07-01,354087627.2,118322932.9,17042899.87
2020-07-02,417724468.9,134976975.1,19165320.48
2020-07-03,263123750.5,71286978.5,16520877.86
2020-07-04,240576054.9,69899468.28,17979199.31
2020-07-05,308410443.7,80528660.62,19241614.02
2020-07-06,502548376.2,203334727.9,33204449.9
2020-07-07,320576525.4,143122828.4,22136652.8
2020-07-08,525344876.7,233460700.8,67681685.84
2020-07-09,447640493.5,157541370.0,74431591.15
